Company,Amount,Year
Orapharma,72000,2004
IOGEN Corp,70130,2004
Mobile Medical International Corp,70000,2004
Phoenix Scientific,70000,2004
Sunrise Medical,70000,2004
Virtual Drug Development,60000,2004
Palomar Medical Technologies,60000,2004
Inamed Corp,60000,2004
Inpro Biotechnology,60000,2004
Aksys Ltd,60000,2004
AFG Biosystems,60000,2004
Admetech,60000,2004
Bacterin International,60000,2004
Association of Medical Device Reprocessors,60000,2004
Cltn for Competitive Pharma Marketing,60000,2004
Cochlear Corp,60000,2004
CancerVax Corp,60000,2004
Conceptus Inc,60000,2004
Exact Sciences Corp,60000,2004
National Orthotic Manufacturers Assn,42191,2004
Neurim Pharmaceuticals,40000,2004
New Jersey Center for Biomaterials,40000,2004
Opt-E-Scrip,40000,2004
North American Rescue Products,40000,2004
Pedorthic Footwear Assn,40000,2004
Pittsburgh Life Sciences Greenhouse,40000,2004
Pride Mobility Products,40000,2004
Q Care International,40000,2004
Psychemedics Corp,40000,2004
Institute of Heartmath,40000,2004
Idemsa,40000,2004
Infusion Dynamics,40000,2004
GenPhar Inc,40000,2004
Hematech Inc,40000,2004
Hill-Rom Holdings,40000,2004
Iomai Corp,40000,2004
Jackson Laboratory,40000,2004
Intersystems Corp,40000,2004
Large Scale Biology,40000,2004
Laserscope,40000,2004
Microban International,40000,2004
Excellerx,40000,2004
Dusa Pharmaceuticals,40000,2004
Covance Inc,40000,2004
CR Bard Inc,40000,2004
Cellerant Therapeutics,40000,2004
Bionicare Medical Technologies,40000,2004
Bio Marin Pharmaceutical,40000,2004
Bracco Diagnostics,40000,2004
Body Media,40000,2004
Air Products & Chemicals Inc,40000,2004
Alatech Healthcare,40000,2004
Alexion Pharmaceuticals,40000,2004
Acutemp,40000,2004
American Biotech Labs,40000,2004
American Herbal Products Assn,40000,2004
Alnylam Pharmaceuticals,40000,2004
Applera Corp,40000,2004
Assn of Clinical Research Organizations,40000,2004
VDDI Pharmaceuticals,40000,2004
Transscan Medical,40000,2004
Spherix Inc,40000,2004
Canada International Pharmacy Assn,36000,2004
Celgene Corp,36000,2004
Microdose Technologies,32500,2004
Hoana Medical,20000,2004
HemCon Medical Technologies,20000,2004
Hearing Industries Assn,20000,2004
Harvest Biotech Foundation International,20000,2004
Humanetics Corp,20000,2004
Quintiles Transnational,20000,2004
Opportunity Medical,20000,2004
National Center for Genome Resources,20000,2004
MultiDimensional Imaging,20000,2004
Computerized Thermal Imaging,20000,2004
Constellation Technology,20000,2004
Discovery Laboratories,20000,2004
Branded Pharmaceutical Assn,20000,2004
Blacktoe Medical III,20000,2004
Astellas Pharma,20000,2004
Athena ISG/GTXtreme,20000,2004
Ballard Medical Devices,20000,2004
Amphastar Pharmaceuticals,20000,2004
Abiomed Inc,20000,2004
Solvay SA,20000,2004
SonoSite Inc,20000,2004
Starkey Laboratories,20000,2004
Renal Solutions,20000,2004
Respironics Inc,20000,2004
Rotech Healthcare,20000,2004
UCB SA,20000,2004
Orasure Technologies,17669,2004
Apotex Inc,15000,2004
American Society for Microbiology,0,2004
Acambis Inc,0,2004
Adams Laboratories,0,2004
Agouron Pharmaceuticals,0,2004
Athersys Inc,0,2004
Astra Tech,0,2004
Berlex,0,2004
Biovail Corp International,0,2004
Biocore Medical Technologies,0,2004
Bioniche Life Sciences,0,2004
Biotech-Pharma Advisory,0,2004
Bioquiddity Inc,0,2004
Direct Supply Inc,0,2004
Engineered Support Systems Inc,0,2004
Enterix,0,2004
ESA Biosciences,0,2004
Exact Laboratories,0,2004
Forest Laboratories,0,2004
Genome Action Coalition,0,2004
Genesoft Inc,0,2004
Colgate-Palmolive Co,0,2004
Cytyc Corp,0,2004
Deka Research & Development,0,2004
Carrington Laboratories,0,2004
NitroMed Inc,0,2004
NxStage Medical,0,2004
Myriad Genetics,0,2004
Naigai Inc,0,2004
Nanogen,0,2004
National Disease Research Interchange,0,2004
Natl Coalition For Assistive/Rehab Tech,0,2004
Reckitt Benckiser Inc,0,2004
Perrigo Co,0,2004
Orphan Medical,0,2004
Ortho Concepts,0,2004
Orthofix International,0,2004
OSI Pharmaceuticals,0,2004
OxyBand Technologies,0,2004
Pharmaceutical Distributors Assn,0,2004
Pharmaceutical Printed Literature Assn,0,2004
Hollister Inc,0,2004
Indiana Medical Device Mfrs Council,0,2004
Innovative Biotherapies,0,2004
Inologic,0,2004
Integrated Medical Systems,0,2004
International Pharm Aerosol Consortium,0,2004
Health Freedom Fund,0,2004
Healthcare Compliance Packaging Council,0,2004
Hillenbrand Industries,0,2004
Jarrow Formulas,0,2004
Iquum,0,2004
Martek Biosciences,0,2004
Metamorphix Inc,0,2004
Metastatin Pharmaceuticals,0,2004
Transkaryotic Therapies,0,2004
Vi Technologies,0,2004
ViaCell Inc,0,2004
United Therapeautics,0,2004
UroLogix,0,2004
Vanguard Medical Concepts,0,2004
Visible Genetics,0,2004
Wistar Institute,0,2004
Zimmer Holdings,0,2004
Retractable Technologies,0,2004
Sigma-Aldrich Corp,0,2004
Sterilmed Inc,0,2004
Stewart Jackson Pharmacal,0,2004
Synzyme Technologies,0,2004
Pharmaceutical Research & Manufacturers of America,13480000,2005
Pfizer Inc,6490000,2005
Roche Group,6237114,2005
Johnson & Johnson,5880000,2005
Biotechnology Industry Organization,5820000,2005
Amgen Inc,5720000,2005
Bristol-Myers Squibb,5040000,2005
Seniors Coalition,5015794,2005
Novartis AG,4988948,2005
Sanofi-Aventis,4860699,2005
GlaxoSmithKline,4860000,2005
AdvaMed,4302974,2005
Chiron Corp,4144758,2005
Abbott Laboratories,4140000,2005
Merck & Co,3680000,2005
Wyeth,3540000,2005
Eli Lilly & Co,3086890,2005
Bayer Corp,2920000,2005
AstraZeneca Pharmaceuticals,2640000,2005
Compensation Reform Corp,2120000,2005
Baxter International,1860000,2005
Genzyme Corp,1827201,2005
Cardinal Health,1740000,2005
Boston Scientific Corp,1720000,2005
Boehringer Ingelheim Corp,1676450,2005
Medtronic Inc,1480000,2005
Teva Pharmaceutical Industries,1480000,2005
Schering-Plough Corp,1360000,2005
Barr Laboratories,1240000,2005
Tyco International,1160000,2005
Millennium Pharmaceuticals,1089000,2005
Biogen Idec,890000,2005
Medicines Co,885000,2005
Mentor Corp,850000,2005
Caremark RX,832901,2005
Watson Pharmaceuticals,800000,2005
McKesson Corp,780000,2005
Healthcare Distribution Management Assn,740000,2005
Cephalon Inc,710000,2005
AmerisourceBergen Corp,710000,2005
Gambro AB,680000,2005
Pharmaceutical Care Management Assn,660331,2005
Bavarian Nordic,660000,2005
Novo Nordisk Pharmaceuticals,650000,2005
Invacare Corp,630000,2005
Generic Pharmaceutical Assn,599928,2005
Medical Device Manufacturers Assn,540000,2005
Gilead Sciences,530000,2005
Council on Radionuclides & Radiopharm,520000,2005
Smith & Nephew,500000,2005
"Becton, Dickinson & Co",474991,2005
Coalition To Preserve DSHEA,460000,2005
Cyberonics Inc,440000,2005
Thermo Fisher Scientific,440000,2005
Bayer AG,430000,2005
Hoveround Corp,400000,2005
Medimmune Inc,400000,2005
Roche Holdings,400000,2005
Calspan-Univ of Buffalo Research Center,379000,2005
Thoratec Corp,360000,2005
Council for Responsible Nutrition,340000,2005
Invitrogen Corp,340000,2005
Introgen Therapeutics,320000,2005
Hollis-Eden Pharmaceuticals,320000,2005
Biopure Corp,320000,2005
UCB SA,320000,2005
Ranbaxy Pharmaceuticals,320000,2005
Varian Medical Systems,320000,2005
Nestle SA,308000,2005
Affymetrix Inc,305000,2005
Theragenics Corp,290000,2005
Prionics AG,280000,2005
Public Hospital Pharmacy Coalition,280000,2005
Natl Cltn/Quality Diagnostic Imaging Svc,280000,2005
Adams Respiratory Therapeutics,280000,2005
Applera Corp,280000,2005
Michigan Biotechnology Institute,275000,2005
Herbalife International,270000,2005
Serono Inc,265000,2005
Kinetic Concepts,260000,2005
Chimerix,260000,2005
Clark Realty,255250,2005
OSI Pharmaceuticals,250000,2005
VaxInnate Corp,240000,2005
Cook Group,240000,2005
Bone Care International,240000,2005
Alnylam Pharmaceuticals,240000,2005
Ivax Corp,240000,2005
Human Genome Sciences,240000,2005
Alpharma Inc,239000,2005
Consumer Healthcare Products Assn,230000,2005
Acambis Inc,220000,2005
EMD Pharmaceuticals,220000,2005
Mylan Inc,220000,2005
Otsuka Pharmaceutical,220000,2005
Owens & Minor,220000,2005
Pacific Pulmonary Services,220000,2005
Northfield Laboratories,220000,2005
Sepracor Inc,220000,2005
Aksys Ltd,210500,2005
Scooter Store,210000,2005
Power Mobility Coalition,205550,2005
Praecis Pharmaceuticals,200000,2005
Pain Therapeutics,200000,2005
ResMed Inc,200000,2005
Sigma-Tau Pharmaceuticals,200000,2005
VaxGen Inc,200000,2005
Academy of Managed Care Pharmacies,200000,2005
Academy of Radiology Research,200000,2005
Coalition/Pres of Compounding Pharmacy,200000,2005
Medical Imaging Contrast Agent Assn,200000,2005
Lexicon Genetics,200000,2005
Idenix Pharmaceuticals,200000,2005
Endocare Inc,200000,2005
Healthcare Institute of New Jersey,200000,2005
Pharmathene Inc,189200,2005
Berlex,185000,2005
Bone Growth Stimulator Coalition,180000,2005
Excellerx,180000,2005
Forest Laboratories,180000,2005
SIGA Technologies,180000,2005
Digene Corp,175000,2005
Henry Schein Inc,160000,2005
Heyl Chem-Pharm Fabrik,160000,2005
I-Flow Corp,160000,2005
IOGEN Corp,160000,2005
Medicines for Malaria Venture,160000,2005
Cangene Corp,160000,2005
Apollo Advisors,160000,2005
ABIOMED Inc,160000,2005
Specialty & Biotech Distributors Assn,160000,2005
Purdue Pharma,160000,2005
Pittsburgh Life Sciences Greenhouse,160000,2005
ZLB Behring,160000,2005
OxyBand Technologies,140000,2005
Polymedica Corp,140000,2005
Shire Pharmaceuticals,140000,2005
Salix Pharmaceuticals,140000,2005
Amylin Pharmaceuticals,140000,2005
Basic Research,140000,2005
Dey LP,140000,2005
Genencor International,140000,2005
Exoxemis Inc,140000,2005
Entremed Inc,140000,2005
Edwards Lifesciences,138500,2005
Biotech Research & Development Center,137500,2005
Nabi Biopharmaceuticals,137000,2005
Bionicare Medical Technologies,135000,2005
Triosyn Corp,129000,2005
Steris Corp,120000,2005
Targepeutics,120000,2005
Schering AG,120000,2005
Q Care International,120000,2005
Qmed,120000,2005
Pride Mobility Products,120000,2005
Otto Bock Health Care,120000,2005
Palomar Medical Technologies,120000,2005
Pittsburgh Tissue Engineering Initiative,120000,2005
Onconova Therapeutics,120000,2005
National Center for Genome Resources,120000,2005
Navigant Biotechnologies,120000,2005
Norbrook Laboratories,120000,2005
VirtualScopics,120000,2005
Welch Allyn Inc,120000,2005
Window Rock Enterprises,120000,2005
Bioniche Life Sciences,120000,2005
Blacktoe Medical III,120000,2005
DFB Pharmaceuticals,120000,2005
Cryolife Inc,120000,2005
Cerus Corp,120000,2005
Atley Pharmaceuticals,120000,2005
Avalon Pharmaceuticals,120000,2005
American Medical Systems,120000,2005
American Orthotic & Prosthetic Assn,120000,2005
Akorn,120000,2005
Aldevron,120000,2005
Alphavax Inc,120000,2005
American Biotech Labs,120000,2005
Mobility Products Unlimited,120000,2005
Lifecell Corp,120000,2005
DOR BioPharma,120000,2005
Health Hero Network,120000,2005
HemispheRx Biopharma,120000,2005
Allergan Inc,110000,2005
MedImpact Healthcare Systems Inc,105000,2005
Metabolife International,100000,2005
Metamorphix Inc,100000,2005
King Pharmaceuticals,100000,2005
Humanetics Corp,100000,2005
Elusys Therapeutics,100000,2005
Empi Inc,100000,2005
American Bioindustry Alliance,100000,2005
Association of Medical Device Reprocessors,100000,2005
Coalition for Plant & Life Science,100000,2005
C-Path Institute,100000,2005
XOMA,100000,2005
Worldwide Medical Technologies,100000,2005
Ventria Bioscience,100000,2005
Vaxin Pharmaceuticals,100000,2005
Z-Medica,100000,2005
National Alliance for Infusion Therapy,100000,2005
Nutrition 21,100000,2005
Patton Medical Devices,100000,2005
OSI Systems,100000,2005
Otologics Llc,100000,2005
Riverain Medical,100000,2005
St Jude Medical,100000,2005
Stemcyte Inc,100000,2005
Pappas Properties,90000,2005
PowerMed Ltd,90000,2005
National Orthotic Manufacturers Assn,90000,2005
Zoll Medical,90000,2005
Colgate-Palmolive Co,90000,2005
Hollister Inc,90000,2005
Exact Sciences Corp,80000,2005
Geno AS,80000,2005
Diversa Corp,80000,2005
Engineered Support Systems Inc,80000,2005
Fuller Rehab Independent Living Aids,80000,2005
Laserscope,80000,2005
Lauras AS,80000,2005
Iomai Corp,80000,2005
Intersystems Corp,80000,2005
Inovio AS,80000,2005
Integrated BioPharma,80000,2005
Inamed Corp,80000,2005
Microban International,80000,2005
Nanogen,80000,2005
Memphis BioWorks Foundation,80000,2005
Cold Spring Harbor Laboratory,80000,2005
Cltn for Competitive Pharma Marketing,80000,2005
Boiron USA,80000,2005
Astellas Pharma,80000,2005
Avant Immunotherapeutics,80000,2005
Biocryst Pharmaceuticals,80000,2005
Alliance for Animal Genome Research,80000,2005
Air Products & Chemicals Inc,80000,2005
Admetech,80000,2005
Wistar Institute,80000,2005
Nutritional Health Alliance,80000,2005
Optivus Technology,80000,2005
Organogenesis Inc,80000,2005
Oscient Pharmaceuticals Corp,80000,2005
Plasma Protein Therapeutics Assn,80000,2005
Sunrise Medical,80000,2005
SW Foundation for Biomedical Research,80000,2005
SonoSite Inc,80000,2005
Sav Rx Chicago,80000,2005
Research Corporation Technologies,80000,2005
Orapharma,72000,2005
Plasma Products Therapeutic Assn,70000,2005
Minnesota Thermal Science,70000,2005
Reliant Pharmaceuticals,65000,2005
Fujirebio Diagnostics Inc,63000,2005
Dms Pharmaceutical Group,60000,2005
E+Healthcare,60000,2005
E-Z-EM Inc,60000,2005
Healthcare Liability Reform Coalition,60000,2005
Hill-Rom Holdings,60000,2005
Martek Biosciences,60000,2005
Jackson Laboratory,60000,2005
A Voice for All,60000,2005
Adl Healthcare,60000,2005
Accuray Inc,60000,2005
Alere Medical,60000,2005
Algeta AS,60000,2005
Bio Marin Pharmaceutical,60000,2005
Bacterin International,60000,2005
Celgene Corp,60000,2005
CombinatoRx Inc,60000,2005
CyberKnife Coalition,60000,2005
Quick-med Technologies,60000,2005
Solvay SA,60000,2005
TransGenRx Inc,60000,2005
PharMed Group,60000,2005
Opt-E-Scrip,60000,2005
Ohio Willow Wood,60000,2005
Omeros Corp,60000,2005
Natural Products Assn,60000,2005
New Jersey Center for Biomaterials,60000,2005
Pharmafab,55000,2005
AFG Biosystems,50000,2005
Hearing Industries Assn,50000,2005
Phylogix,43875,2005
Pedorthic Footwear Assn,40000,2005
North American Rescue Products,40000,2005
National Nutritional Foods Assn,40000,2005
Talecris Biotherapeutics,40000,2005
Renal Solutions,40000,2005
Psychemedics Corp,40000,2005
Reckitt Benckiser Inc,40000,2005
Shockwave Technical Service,40000,2005
WNO Ownership,40000,2005
World Heart Corp,40000,2005
Genomatica,40000,2005
GenPhar Inc,40000,2005
HemCon Medical Technologies,40000,2005
Hoana Medical,40000,2005
Durect Corp,40000,2005
Dusa Pharmaceuticals,40000,2005
Direct Supply Inc,40000,2005
Kevin McGuiness,40000,2005
Indiana Medical Device Mfrs Council,40000,2005
Infusion Dynamics,40000,2005
Innovative Biotherapies,40000,2005
Imclone Systems,40000,2005
Insmed,40000,2005
Institute of Heartmath,40000,2005
International Pharm Aerosol Consortium,40000,2005
Lifeblood Medical,40000,2005
Medical MetRx Solutions,40000,2005
Large Scale Biology,40000,2005
Mobile Medical International Corp,40000,2005
Microdose Technologies,40000,2005
Mgi Pharma,40000,2005
Myotech Llc,40000,2005
MRE-Holding AS,40000,2005
Actelion Ltd,40000,2005
Acutemp,40000,2005
Alatech Healthcare,40000,2005
American Herbal Products Assn,40000,2005
Bioenterprise,40000,2005
Amphastar Pharmaceuticals,40000,2005
Anodyne Therapy,40000,2005
Covance Inc,40000,2005
CR Bard Inc,40000,2005
Cytomedix Inc,40000,2005
Consortium for Plant Biotech Research,40000,2005
Constellation Technology,40000,2005
Cochlear Corp,40000,2005
Cell Therapeutics,40000,2005
Cellerant Therapeutics,40000,2005
Carrington Laboratories,40000,2005
Calypso Medical Technologies,40000,2005
Body Media,40000,2005
Bioquiddity Inc,40000,2005
Nighthawk Radiology Holdings,36000,2005
Keel Pharmaceuticals,35000,2005
Hematech Inc,34500,2005
Virtual Drug Development,32000,2005
Orasure Technologies,31952,2005
Utah Natural Products Alliance,30000,2005
IFOPA,30000,2005
Athena ISG/GTXtreme,30000,2005
Angiodynamics Inc,25000,2005
Athersys Inc,20000,2005
Assn of Clinical Research Organizations,20000,2005
Achaogen,20000,2005
Biotech-Pharma Advisory,20000,2005
Bracco Diagnostics,20000,2005
Deliver Med Holdings,20000,2005
DeRoyal Industries,20000,2005
Imageware Systems,20000,2005
ImmuneRegen Biosciences,20000,2005
Kyphon,20000,2005
Halozyme Therapeutics Inc,20000,2005
Home Products International,20000,2005
Fleming & Co Pharmaceuticals,20000,2005
Genaco Biomedical Products,20000,2005
Dispensing Solutions,20000,2005
Exact Laboratories,20000,2005
Translational Genomics Research Inst,20000,2005
Spherix Inc,20000,2005
Rib-X Pharmaceuticals,20000,2005
Primus Pharmaceuticals,20000,2005
Novavax Inc,20000,2005
Noninvasive Medical Technologies,20000,2005
National Disease Research Interchange,20000,2005
Precise Biometrics,20000,2005
Ortho Concepts,20000,2005
Eisai Co Ltd,18750,2005
Noven Pharmaceuticals,15000,2005
Semafore Pharmaceuticals,15000,2005
Isis Pharmaceuticals,12000,2005
Sam Medical Products,10000,2005
Protiveris,0,2005
Quidel Corp,0,2005
Quintiles Transnational,0,2005
Respironics Inc,0,2005
Sigma-Aldrich Corp,0,2005
Synzyme Technologies,0,2005
TerraForming Technologies,0,2005
Sterilmed Inc,0,2005
Stewart Jackson Pharmacal,0,2005
Stowers Institute,0,2005
Transscan Medical,0,2005
Transkaryotic Therapies,0,2005
Vanguard Medical Concepts,0,2005
United Supplement Freedom Assn,0,2005
United Therapeautics,0,2005
USA Mobility,0,2005
Nostix,0,2005
Orphan Medical,0,2005
Opportunity Medical,0,2005
Nucryst Pharmaceuticals,0,2005
Natl Coalition For Assistive/Rehab Tech,0,2005
NitroMed Inc,0,2005
Pharmaceutical Distributors Assn,0,2005
Pharmaceutical Printed Literature Assn,0,2005
Physician Diagnostic Services,0,2005
Phoenix Scientific,0,2005
YM BioSciences,0,2005
VDDI Pharmaceuticals,0,2005
ViaCell Inc,0,2005
Viatronix Inc,0,2005
Vivus Inc,0,2005
Zimmer Holdings,0,2005
Jarrow Formulas,0,2005
Jerome Stevens Pharmaceuticals,0,2005
Karl Storz Endoscopy-America,0,2005
Inologic,0,2005
Integrated Medical Systems,0,2005
MultiDimensional Imaging,0,2005
Molecular Insight Pharmaceuticals,0,2005
Myriad Genetics,0,2005
Nanomix,0,2005
MedNet Healthcare Technologies,0,2005
Engentech Group,0,2005
Discovery Laboratories,0,2005
Enterix,0,2005
Epi Pharmaceuticals,0,2005
ESA Biosciences,0,2005
EV3,0,2005
Galderma Laboratories,0,2005
Hologic Inc,0,2005
Healthcare Compliance Packaging Council,0,2005
Hillenbrand Industries,0,2005
Harvest Biotech Foundation International,0,2005
Guilford Pharmaceuticals,0,2005
Genome Action Coalition,0,2005
Cytyc Corp,0,2005
Deka Research & Development,0,2005
Cyberkinetics Neurotechnology Systems,0,2005
Conceptus Inc,0,2005
Coloplast Corp,0,2005
Buffalo Supply,0,2005
Canada International Pharmacy Assn,0,2005
CancerVax Corp,0,2005
Centrex Inc,0,2005
Biomedical Systems,0,2005
Biovail Corp International,0,2005
BioVeris Corp,0,2005
Agouron Pharmaceuticals,0,2005
Alkermes Inc,0,2005
Allegiance Healthcare,0,2005
Alexion Pharmaceuticals,0,2005
Ballard Medical Devices,0,2005
Astra Tech,0,2005
Apotex Inc,0,2005
Arborgen,0,2005
American Society for Microbiology,0,2005
Pharmaceutical Research & Manufacturers of America,18100000,2006
Pfizer Inc,11800000,2006
Amgen Inc,10220000,2006
Roche Group,8179044,2006
Sanofi-Aventis,6780423,2006
Novartis AG,6277285,2006
Johnson & Johnson,5820000,2006
Bristol-Myers Squibb,5740000,2006
Biotechnology Industry Organization,5460000,2006
Merck & Co,4050000,2006
Seniors Coalition,3911223,2006
Eli Lilly & Co,3700000,2006
Wyeth,3666000,2006
AdvaMed,3468189,2006
Bayer Corp,2992969,2006
AstraZeneca Pharmaceuticals,2840000,2006
Abbott Laboratories,2560000,2006
Genzyme Corp,2201047,2006
Medicines Co,2165000,2006
Baxter International,2040000,2006
Boston Scientific Corp,1800000,2006
Schering-Plough Corp,1800000,2006
Tyco International,1780000,2006
Boehringer Ingelheim Corp,1568336,2006
Medtronic Inc,1360000,2006
Barr Laboratories,1320000,2006
Teva Pharmaceutical Industries,1280000,2006
AmerisourceBergen Corp,1170000,2006
Academy of Radiology Research,1060000,2006
Watson Pharmaceuticals,1020000,2006
GlaxoSmithKline,991000,2006
"Becton, Dickinson & Co",890861,2006
Cephalon Inc,881219,2006
Millennium Pharmaceuticals,876000,2006
Mylan Inc,870000,2006
Sepracor Inc,860000,2006
Cardinal Health,820000,2006
Gilead Sciences,810000,2006
Caremark Rx,805189,2006
Chiron Corp,800000,2006
Medimmune Inc,757000,2006
Pharmaceutical Care Management Assn,706237,2006
Healthcare Distribution Management Assn,700000,2006
Invacare Corp,650000,2006
Generic Pharmaceutical Assn,625902,2006
McKesson Corp,620000,2006
Allergan Inc,605000,2006
Affymetrix Inc,600000,2006
Novo Nordisk Pharmaceuticals,600000,2006
Biogen Idec,567000,2006
Medical Device Manufacturers Assn,550000,2006
Mentor Corp,550000,2006
Bayer AG,540000,2006
Bavarian Nordic,520000,2006
Forest Laboratories,520000,2006
OSI Pharmaceuticals,520000,2006
Mgi Pharma,520000,2006
Roche Holdings,500000,2006
Calspan-Univ of Buffalo Research Center,486834,2006
Council on Radionuclides & Radiopharm,480000,2006
Talecris Biotherapeutics,480000,2006
Applera Corp,460000,2006
SCOOTER Store,427600,2006
Theragenics Corp,420000,2006
Invitrogen Corp,420000,2006
Cyberonics Inc,390000,2006
Hoveround Corp,380000,2006
Council for Responsible Nutrition,380000,2006
Coalition To Preserve DSHEA,380000,2006
Nestle SA,374000,2006
Northfield Laboratories,360000,2006
Acambis Inc,360000,2006
Adams Respiratory Therapeutics,340000,2006
Nighthawk Radiology Holdings,322600,2006
Ranbaxy Pharmaceuticals,320000,2006
Pacific Pulmonary Services,320000,2006
VaxGen Inc,320000,2006
Anodyne Therapy,320000,2006
Cook Group,320000,2006
Biopure Corp,320000,2006
Introgen Therapeutics,320000,2006
Herbalife International,320000,2006
Serono Inc,310000,2006
Kinetic Concepts,300000,2006
Insmed,300000,2006
Biovail Corp International,300000,2006
Michigan Biotechnology Institute,295000,2006
Pharmathene Inc,280000,2006
Amphastar Pharmaceuticals,280000,2006
Thoratec Corp,275000,2006
Smith & Nephew,260000,2006
NitroMed Inc,260000,2006
Amylin Pharmaceuticals,260000,2006
Hollis-Eden Pharmaceuticals,260000,2006
Clark Realty,258472,2006
Hollister Inc,247500,2006
General Electric,240000,2006
CytoGenix Inc,240000,2006
CSL Ltd,240000,2006
Chimerix,240000,2006
Cangene Corp,240000,2006
Natl Cltn/Quality Diagnostic Imaging Svc,240000,2006
Q Care International,240000,2006
VaxInnate Corp,240000,2006
Thermo Fisher Scientific,236900,2006
Bionicare Medical Technologies,230000,2006
EMD Pharmaceuticals,220000,2006
UCB SA,220000,2006
Primecell Therapeutics,220000,2006
Nabi Biopharmaceuticals,202800,2006
Otsuka Pharmaceutical,200700,2006
Onconova Therapeutics,200000,2006
Pain Therapeutics,200000,2006
Owens & Minor,200000,2006
Shire Pharmaceuticals,200000,2006
St Jude Medical,200000,2006
Welch Allyn Inc,200000,2006
Varian Medical Systems,200000,2006
XOMA,200000,2006
Endocare Inc,200000,2006
Digene Corp,200000,2006
Fleming & Co Pharmaceuticals,200000,2006
Cltn for Competitive Pharma Marketing,200000,2006
Abiomed Inc,200000,2006
Alnylam Pharmaceuticals,200000,2006
Edwards Lifesciences,192341,2006
American Bioindustry Alliance,190000,2006
Alpharma Inc,180000,2006
Alphavax Inc,180000,2006
Consumer Healthcare Products Assn,180000,2006
Constella Group,180000,2006
Bone Growth Stimulator Coalition,180000,2006
Exoxemis Inc,180000,2006
Medical Imaging Contrast Agent Assn,180000,2006
Sigma-Tau Pharmaceuticals,180000,2006
Pride Mobility Products,180000,2006
Metabolix,180000,2006
Safe Life Corp,173000,2006
Eisai Co Ltd,168000,2006
Bioscrip Inc,167500,2006
C-Path Institute,160000,2006
Celgene Corp,160000,2006
Analogic Corp,160000,2006
Apollo Advisors,160000,2006
E+Healthcare,160000,2006
Genomic Health Inc,160000,2006
IOGEN Corp,160000,2006
Sirtex Medical,160000,2006
Specialty & Biotech Distributors Assn,160000,2006
OxyBand Technologies,160000,2006
Mobile Medical International Corp,160000,2006
Organogenesis Inc,160000,2006
Biotech Research & Development Center,159500,2006
Dey LP,145000,2006
Healthcare Institute of New Jersey,140000,2006
Martek Biosciences,140000,2006
Hill-Rom Holdings,140000,2006
American Orthotic & Prosthetic Assn,140000,2006
Minnesota Thermal Science,140000,2006
NanoViricides Inc,140000,2006
Par Pharmaceutical,140000,2006
SIGA Technologies,140000,2006
YM BioSciences,140000,2006
Z-Medica,140000,2006
Schering AG,130000,2006
Purdue Pharma,130000,2006
Plasma Protein Therapeutics Assn,130000,2006
PowerMed Ltd,130000,2006
Berlex,130000,2006
United Research Labs/Mutual Pharma Co,127500,2006
TransGenRx Inc,120000,2006
Steris Corp,120000,2006
Prasco Laboratories,120000,2006
Pittsburgh Life Sciences Greenhouse,120000,2006
Palomar Medical Technologies,120000,2006
Rib-X Pharmaceuticals,120000,2006
Nanogen,120000,2006
Metamorphix Inc,120000,2006
Oscient Pharmaceuticals Corp,120000,2006
Otologics Llc,120000,2006
Arbor Vita Corp,120000,2006
Association of Medical Device Reprocessors,120000,2006
Air Products & Chemicals Inc,120000,2006
Akorn,120000,2006
Aldevron,120000,2006
Accuray Inc,120000,2006
Bioniche Life Sciences,120000,2006
Branded Pharmaceutical Assn,120000,2006
Cerus Corp,120000,2006
Coalition for Plant & Life Science,120000,2006
CombinatoRx Inc,120000,2006
Human Genome Sciences,120000,2006
Humanetics Corp,120000,2006
Lifeblood Medical,120000,2006
Lifecell Corp,120000,2006
Ferring BV,120000,2006
EraGen Biosciences,120000,2006
Genencor International,120000,2006
Emageon Inc,120000,2006
E-Z-EM Inc,120000,2006
Cryolife Inc,120000,2006
Henry Schein Inc,115000,2006
Power Mobility Coalition,112177,2006
Stemcyte Inc,110000,2006
Elusys Therapeutics,110000,2006
Gambro AB,110000,2006
Molecular Insight Pharmaceuticals,105000,2006
Apotex Inc,102200,2006
Academy of Managed Care Pharmacies,100000,2006
Alere Medical,100000,2006
Coalition/Pres of Compounding Pharmacy,100000,2006
Chembio Diagnostics,100000,2006
Exact Sciences Corp,100000,2006
DexCom,100000,2006
Dispensing Solutions,100000,2006
Inamed Corp,100000,2006
Insightec Inc,100000,2006
Lexicon Genetics,100000,2006
National Center for Genome Resources,100000,2006
Otto Bock Health Care,100000,2006
Noninvasive Medical Technologies,100000,2006
Pittsburgh Tissue Engineering Initiative,100000,2006
Panflu,100000,2006
Salix Pharmaceuticals,100000,2006
Respironics Inc,100000,2006
Calypso Medical Technologies,96000,2006
Reliant Pharmaceuticals,90000,2006
Research Corporation Technologies,80000,2006
Solvay SA,80000,2006
SonoSite Inc,80000,2006
Qmed,80000,2006
Quick-med Technologies,80000,2006
New Jersey Center for Biomaterials,80000,2006
Ohio Willow Wood,80000,2006
National Alliance for Infusion Therapy,80000,2006
Morphotek Inc,80000,2006
Morton Grove Pharmaceuticals Inc,80000,2006
Myotech Llc,80000,2006
Memphis BioWorks Foundation,80000,2006
